trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
3,21:20:00,21:20:00,62,1,,0,0,1
3,21:48:00,21:48:00,16,2,,1,0,1
4,06:15:00,06:15:00,88,1,,0,0,1
4,06:56:00,06:56:00,22,2,,0,0,1
4,07:08:00,07:08:00,87,3,,0,0,1
6,15:45:00,15:45:00,49,1,,0,0,1
6,15:46:00,15:46:00,50,2,,0,0,1
6,15:48:00,15:48:00,51,3,,0,0,1
6,15:50:00,15:50:00,52,4,,0,0,1
6,15:52:00,15:52:00,53,5,,0,0,1
6,15:58:00,15:58:00,16,6,,0,0,1
41,06:15:00,06:15:00,87,1,,0,0,1
41,06:32:00,06:32:00,22,2,,0,0,1
41,07:09:00,07:09:00,88,3,,0,0,1
42,07:15:00,07:15:00,87,1,,0,0,1
42,07:32:00,07:32:00,22,2,,0,0,1
42,08:09:00,08:09:00,88,3,,0,0,1
43,16:10:00,16:10:00,49,1,,0,0,1
43,16:11:00,16:11:00,50,2,,0,0,1
43,16:13:00,16:13:00,51,3,,0,0,1
43,16:15:00,16:15:00,52,4,,0,0,1
43,16:17:00,16:17:00,53,5,,0,0,1
43,16:23:00,16:23:00,16,6,,0,0,1
44,08:15:00,08:15:00,87,1,,0,0,1
44,08:32:00,08:32:00,22,2,,0,0,1
44,09:09:00,09:09:00,88,3,,0,0,1
45,09:15:00,09:15:00,87,1,,0,0,1
45,09:32:00,09:32:00,22,2,,0,0,1
45,10:09:00,10:09:00,88,3,,0,0,1
46,10:15:00,10:15:00,87,1,,0,0,1
46,10:32:00,10:32:00,22,2,,0,0,1
46,11:09:00,11:09:00,88,3,,0,0,1
47,11:15:00,11:15:00,87,1,,0,0,1
47,11:32:00,11:32:00,22,2,,0,0,1
47,12:09:00,12:09:00,88,3,,0,0,1
48,12:15:00,12:15:00,87,1,,0,0,1
48,12:32:00,12:32:00,22,2,,0,0,1
48,13:09:00,13:09:00,88,3,,0,0,1
49,13:15:00,13:15:00,87,1,,0,0,1
49,13:32:00,13:32:00,22,2,,0,0,1
49,14:09:00,14:09:00,88,3,,0,0,1
50,14:15:00,14:15:00,87,1,,0,0,1
50,14:32:00,14:32:00,22,2,,0,0,1
50,15:09:00,15:09:00,88,3,,0,0,1
51,15:15:00,15:15:00,87,1,,0,0,1
51,15:32:00,15:32:00,22,2,,0,0,1
