route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
"RES",2,3,"Rockaway Express",0,102,67
"RW",1,4,"Wall St./Pier 11",1,22,7
"RWS",2,6,"Rockaway",0,201,4
"RW",1,41,"Rockaway",0,21,8
"RW",1,42,"Rockaway",0,22,8
"RWS",2,43,"Rockaway",0,202,4
"RW",1,44,"Rockaway",0,21,8
"RW",1,45,"Rockaway",0,22,8
"RW",1,46,"Rockaway",0,21,8
"RW",1,47,"Rockaway",0,22,8
"RW",1,48,"Rockaway",0,21,8
"RW",1,49,"Rockaway",0,22,8
"RW",1,50,"Rockaway",0,21,8
"RW",1,51,"Rockaway",0,22,8
"RW",1,52,"Rockaway",0,21,8
"RW",1,53,"Rockaway",0,22,8
"RW",1,55,"Rockaway",0,21,8
"RW",1,56,"Rockaway",0,22,8
"RW",1,58,"Rockaway",0,21,8
"RW",1,59,"Wall St./Pier 11",1,21,7
"RWS",2,83,"Rockaway",0,201,4
"RWS",2,84,"Rockaway",0,202,4
"RWS",2,85,"Rockaway",0,201,4
"RWS",2,86,"Rockaway",0,202,4
"RWS",2,87,"Rockaway",0,201,4
"RWS",2,88,"Rockaway",0,202,4
"RWS",2,89,"Rockaway",0,201,4
"RWS",2,90,"Rockaway",0,202,4
"RWS",2,91,"Rockaway",0,201,4
"RWS",2,92,"Rockaway",0,202,4
"RWS",2,93,"Rockaway",0,201,4
"RWS",2,94,"Rockaway",0,202,4
"RWS",2,95,"Rockaway Express",0,201,69
"RWS",2,96,"Rockaway Express",0,201,69
"RWS",2,97,"Rockaway West",1,201,70
"RWS",2,98,"Rockaway West",1,201,70
"RWS",2,116,"Rockaway West",1,201,70
"RWS",2,117,"Rockaway West",1,201,70
"RWS",2,118,"Rockaway West",1,202,70
"RWS",2,119,"Rockaway West",1,201,70
"RWS",2,120,"Rockaway West",1,202,70
"RWS",2,121,"Rockaway West",1,201,70
"RWS",2,122,"Rockaway West",1,202,70
"RWS",2,123,"Rockaway West",1,201,70
"RWS",2,124,"Rockaway West",1,202,70
"RWS",2,125,"Rockaway West",1,201,70
"RWS",2,126,"Rockaway West",1,202,70
"RWS",2,127,"Rockaway West",1,201,70
"RWS",2,128,"Rockaway West",1,202,70
"RWS",2,129,"Rockaway West",1,201,70
"RWS",2,130,"Rockaway West",1,202,70
"RWS",2,131,"Rockaway West",1,201,70
"RWS",2,132,"Rockaway West",1,202,70
"RWS",2,133,"Rockaway West",1,201,70
"RWS",2,134,"Rockaway West",1,202,70
"RWS",2,135,"Rockaway West",1,201,70
"RWS",2,136,"Rockaway West",1,202,70
"RES",2,141,"Rockaway Express",0,103,67
"RES",2,142,"Rockaway East",1,101,37
